id,merchant_offer_id,opened_time,closed_time,period_start,period_end,collection_time,status,repayment_status
000ca543f55c43598ca217f6343bdc84,aba9cbd014684b1cbb4fa0a8d5d8d613,20/07/2020 10:12,22/07/2020 10:20,19/07/2020 22:00,24/07/2020 22:00,25/07/2020 09:00,closed,ok
00288ee4053f4a6d8fcd9598e5405a79,83cf0a45d24148dea98b60637c7241ce,27/06/2020 13:14,30/06/2020 15:50,26/06/2020 22:00,01/07/2020 22:00,02/07/2020 09:00,closed,ok
004fa3acec594710809384408f7c797b,aba9cbd014684b1cbb4fa0a8d5d8d613,03/07/2020 13:51,06/07/2020 09:14,02/07/2020 22:00,07/07/2020 22:00,08/07/2020 09:00,closed,ok
00a0a0b3ae5449fdba68b13fada9d987,d26e9224d3034b709d72d64dc8d21c23,30/10/2020 07:39,04/11/2020 13:01,29/10/2020 22:00,03/11/2020 22:00,04/11/2020 09:00,closed,delinquent
00d0e0ff535f4ac78fea65c05900ab01,ceda807d59804f35af7eebec127817bc,30/10/2020 12:19,04/11/2020 08:20,29/10/2020 22:00,03/11/2020 22:00,04/11/2020 09:00,closed,ok
021407f4e7944f2595d8b8e4428c2dee,3456fd5ec6b64123b1778ea01460fb2d,05/10/2020 13:57,10/10/2020 06:00,04/10/2020 22:00,09/10/2020 22:00,10/10/2020 09:00,closed,ok
0237212f427c48519268e83b2b0a4e2d,c7c17c02490a4de99ce39bd595304e1f,28/08/2020 12:03,31/08/2020 09:21,27/08/2020 22:00,01/09/2020 22:00,02/09/2020 09:00,closed,ok
02898a2de52245949221fe8147e9160d,0ddf982d9c344c629d2a0aa757eb5885,19/10/2020 14:11,20/10/2020 09:18,18/10/2020 22:00,23/10/2020 22:00,24/10/2020 09:00,closed,ok
02ba92c0cd1b4f04b108bac9cd7be767,d1a3c263a454475da00f6248cef85ec4,23/05/2020 08:34,26/05/2020 08:30,22/05/2020 22:00,27/05/2020 22:00,28/05/2020 09:00,closed,ok
03162cc92a6b43fca088e7e0424468e0,9e70d6ce4bd1472eaa30b15c92aeacd4,16/11/2020 13:43,20/11/2020 09:10,15/11/2020 22:00,20/11/2020 22:00,21/11/2020 09:00,closed,ok
0388c3b1edb34cff8fa1ed428dd1eb31,69ac7a1e1ed7451f8285d8c75798026b,15/10/2020 14:31,19/10/2020 08:50,14/10/2020 22:00,19/10/2020 22:00,20/10/2020 09:00,closed,ok
