account_id,AirtimePin,LoanDisbursement,MerchantDeposit,LoanRepayment,amount,ok,delinquent,default
0183c99111ce46b9b10d17c98843c2f0,2545,5,0,0,39460,5,0,0
03e3021ad5b94704ba90960cd4dba20e,1269,1,0,0,12070,0,0,1
05f2741a39f5446eb0068f18672854aa,1118,2,0,0,11100,1,1,0
065d13d0cfbf4df4b99258ffa25f9a65,4801,4,0,0,74230,4,0,0
0772a5e473344620b882907c518d5165,3281,11,0,0,56410,11,0,0
0a8afd3da40a4d39a44c919f1a7753d4,2886,1,0,0,29570,0,0,1
0e34b676c54e4fe68aa0f727d23497bd,3708,4,0,0,123835,3,0,1
0e7e5806161844ba8105a9b26f467475,3421,30,0,0,74585,24,6,0
17315aa236a5400489347b99298d6252,3277,9,0,0,52645,8,1,0
1cd06eb5b0294306a3e081e744cc0f25,1119,7,0,0,15925,6,1,0
20644c99212744e8b3582a9d804afc87,1835,3,0,0,31625,3,0,0
20dbd8740dd74ff687c0a171a3762702,707,6,0,0,11800,6,0,0
264a5c4a06e243578fa51f7ec69ca283,4887,14,0,0,74750,13,1,0
2bac946c996e4a598ff349316a3468a0,3563,6,0,0,36825,5,1,0
2c617cf6a2f64c7e8a252f7f4dc9e13b,1282,4,0,0,19590,3,1,0
2e5577f0bb10404dac0acdd0b1470d3d,3644,27,0,0,88095,19,6,2
3035b8c6e86445dc8bc788d4dfae5d00,2474,10,0,0,46745,6,2,2
3511ee5918e1438e908239f1f12b0267,8408,9,0,0,112160,9,0,0
36418871a5d84de8ba7e31fe02f9f375,3213,18,0,0,64065,17,1,0
397454beef294ce697dfdbbdde0649bb,3631,9,0,0,68960,9,0,0
3ef69167961c425c852bac73aab030f2,1930,7,0,0,44185,7,0,0
3f556e6e42af4393ad2c3676fec34d7a,2740,21,0,0,56850,15,3,3
42ea5ec094784f2fba5bf91b26909c49,1596,5,0,0,19870,4,1,0
49587605d78e4e6ebf0a98477cc2de34,1097,2,0,0,13725,1,1,0
4d4618e743484e43a8391b3f87bdf060,1147,2,0,0,12920,2,0,0
500a70aed605442886a25563e7624540,906,2,0,0,23285,1,1,0
52d17bcbe5094e1bbf2a4eb7ad1a97c1,940,5,0,0,12455,2,1,2
55e47faa2eeb43569f45f51d0ecc5f51,3355,19,0,0,50290,14,5,0
5911724549704f858d8ecbe1606ac613,1864,2,0,0,22685,1,1,0
5ccbb392cc3741fd992c37543c0f1152,1614,8,0,0,19095,8,0,0
5f5e94a3123d40b28ce87569c729d10e,3297,3,0,0,38130,1,1,1
